lng,lat,id,@id,addr:city,addr:street,denotation,leaf_cycle,leaf_type,natural,genus,species,species:es,species:mp,species:es_1,wikidata,wikipedia
-7907135.71901659,-4123981.84224739,node/6384864837,node/6384864837,Chimbarongo,El Bosque,garden,evergreen,broadleaved,tree,Washingtonia,Washingtonia filifera,Washingtonia de California,,,,
-7907144.40193687,-4123977.00807377,node/6384867877,node/6384867877,Chimbarongo,El Bosque,garden,evergreen,broadleaved,tree,Washingtonia,Washingtonia filifera,Washingtonia de California,,,,
-7909275.66924785,-4123926.56759112,node/6388276310,node/6388276310,Chimbarongo,Los Feriantes,street,deciduous,broadleaved,tree,Liquidambar,Liquidambar styraciflua,Liquidámbar,,,,
-7909272.57456601,-4123928.63937023,node/6388276311,node/6388276311,Chimbarongo,Los Feriantes,street,deciduous,broadleaved,tree,Liquidambar,Liquidambar styraciflua,Liquidámbar,,,,
-7909259.72829677,-4123936.73691578,node/6388276312,node/6388276312,Chimbarongo,Los Feriantes,street,deciduous,broadleaved,tree,Liquidambar,Liquidambar styraciflua,Liquidámbar,,,,
-7909255.42023247,-4123939.06597679,node/6388276313,node/6388276313,Chimbarongo,Los Feriantes,street,deciduous,broadleaved,tree,Liquidambar,Liquidambar styraciflua,Liquidámbar,,,,
-7909323.15814262,-4123944.22511948,node/6388276314,node/6388276314,Chimbarongo,Los Sembradores,street,deciduous,broadleaved,tree,Liquidambar,Liquidambar styraciflua,Liquidámbar,,,,
-7909266.10690359,-4123988.95133003,node/6388276315,node/6388276315,Chimbarongo,Los Sembradores,street,deciduous,broadleaved,tree,Liquidambar,Liquidambar styraciflua,Liquidámbar,,,,
-7909278.34091563,-4123972.49888849,node/6388276316,node/6388276316,Chimbarongo,Los Sembradores,street,deciduous,broadleaved,tree,Liquidambar,Liquidambar styraciflua,Liquidámbar,,,,
-7909281.88087544,-4123970.25106708,node/6388276317,node/6388276317,Chimbarongo,Los Sembradores,street,deciduous,broadleaved,tree,Liquidambar,Liquidambar styraciflua,Liquidámbar,,,,
-7909282.39294509,-4123977.57679997,node/6388276318,node/6388276318,Chimbarongo,Los Sembradores,street,deciduous,broadleaved,tree,Liquidambar,Liquidambar styraciflua,Liquidámbar,,,,
