lng,lat,id,@id,addr:city,addr:street,denotation,leaf_cycle,leaf_type,natural,genus,species,species:es,species:mp,species:es_1,wikidata,wikipedia
-71.0284506,-34.7070531,node/6144057685,node/6144057685,Chimbarongo,El Bosque,street,,broadleaved,tree,,,,,,,
-71.0286598,-34.7068407,node/6144057686,node/6144057686,Chimbarongo,El Bosque,street,evergreen,broadleaved,tree,Quillaja,Quillaja saponaria,Quillay,,,,
-71.0284643,-34.7068362,node/6144057687,node/6144057687,Chimbarongo,El Bosque,garden,,broadleaved,tree,,,,,,,
-71.0284342,-34.7067924,node/6144057688,node/6144057688,Chimbarongo,El Bosque,garden,,broadleaved,tree,,,,,,,
-71.0341131,-34.7042125,node/6144058144,node/6144058144,Chimbarongo,El Bosque,avenue,evergreen,broadleaved,tree,Schinus,Schinus molle,Pimiento,,,,
-71.0341711,-34.7042846,node/6144058145,node/6144058145,Chimbarongo,El Bosque,avenue,evergreen,broadleaved,tree,Acacia,Acacia melanoxylon,,,,,
-71.0340631,-34.7042424,node/6144058146,node/6144058146,Chimbarongo,El Bosque,avenue,evergreen,broadleaved,tree,Robinia,Robinia pseudoacacia,Falsa acacia de Japón,,,,
-71.0341117,-34.704319,node/6144058147,node/6144058147,Chimbarongo,El Bosque,avenue,evergreen,broadleaved,tree,Robinia,Robinia pseudoacacia,Falsa acacia de Japón,,,,
-71.0340766,-34.7043401,node/6144058148,node/6144058148,Chimbarongo,El Bosque,avenue,evergreen,broadleaved,tree,Robinia,Robinia pseudoacacia,Falsa acacia de Japón,,,,
-71.0340388,-34.7043634,node/6144058149,node/6144058149,Chimbarongo,El Bosque,avenue,evergreen,broadleaved,tree,Schinus,Schinus molle,Pimiento,,,,
-71.0340023,-34.704379,node/6144058150,node/6144058150,Chimbarongo,El Bosque,avenue,evergreen,broadleaved,tree,Schinus,Schinus molle,Pimiento,,,,
-71.0339242,-34.7043142,node/6144058151,node/6144058151,Chimbarongo,El Bosque,avenue,evergreen,broadleaved,tree,Acacia,Acacia melanoxylon,,,,,
-71.0337978,-34.7043612,node/6144058152,node/6144058152,Chimbarongo,El Bosque,avenue,evergreen,broadleaved,tree,Acacia,Acacia melanoxylon,,,,,
-71.0338838,-34.7044585,node/6144058153,node/6144058153,Chimbarongo,El Bosque,avenue,evergreen,broadleaved,tree,Acacia,Acacia melanoxylon,,,,,
-71.0338465,-34.7044756,node/6144058154,node/6144058154,Chimbarongo,El Bosque,avenue,evergreen,broadleaved,tree,Acacia,Acacia dealbata,Aromo de Castilla,,,,
-71.0338022,-34.7044955,node/6144062064,node/6144062064,Chimbarongo,El Bosque,avenue,evergreen,broadleaved,tree,Robinia,Robinia pseudoacacia,Falsa acacia de Japón,,,,
-71.0337261,-34.7045253,node/6144062065,node/6144062065,Chimbarongo,El Bosque,avenue,evergreen,broadleaved,tree,Robinia,Robinia pseudoacacia,Falsa acacia de Japón,,,,
-71.0336714,-34.7044423,node/6144062066,node/6144062066,Chimbarongo,El Bosque,avenue,evergreen,broadleaved,tree,Robinia,Robinia pseudoacacia,Falsa acacia de Japón,,,,
-71.0336548,-34.7045572,node/6144085195,node/6144085195,Chimbarongo,El Bosque,avenue,evergreen,broadleaved,tree,Robinia,Robinia pseudoacacia,Falsa acacia de Japón,,,,
-71.0336032,-34.704475,node/6144085196,node/6144085196,Chimbarongo,El Bosque,avenue,evergreen,broadleaved,tree,Robinia,Robinia pseudoacacia,Acacia Falsa,,,,
-71.033524,-34.7045166,node/6144085197,node/6144085197,Chimbarongo,El Bosque,avenue,evergreen,broadleaved,tree,Robinia,Robinia pseudoacacia,Falsa acacia de Japón,,,,
-71.0335661,-34.7046023,node/6144085198,node/6144085198,Chimbarongo,El Bosque,avenue,evergreen,broadleaved,tree,Robinia,Robinia pseudoacacia,Falsa acacia de Japón,,,,
-71.0335158,-34.704622,node/6144085199,node/6144085199,Chimbarongo,El Bosque,avenue,evergreen,broadleaved,tree,Robinia,Robinia pseudoacacia,Falsa acacia de Japón,,,,
-71.0334578,-34.7045535,node/6144085201,node/6144085201,Chimbarongo,El Bosque,avenue,evergreen,broadleaved,tree,Robinia,Robinia pseudoacacia,Falsa acacia de Japón,,,,
