"package","declared","declared_recursive","without_base","without_base_recursive","without_installed","without_installed_recursive","reverse","reverse_recursive","badge_url"
"A3",2,5,2,2,2,2,0,0,"https://img.shields.io/badge/dependencies-2/2-green?style=flat"
"aaSEA",9,121,9,112,9,101,0,0,"https://img.shields.io/badge/dependencies-9/101-orange?style=flat"
"ABACUS",2,65,2,57,2,52,0,0,"https://img.shields.io/badge/dependencies-2/52-green?style=flat"
"abbyyR",6,36,6,32,6,32,0,0,"https://img.shields.io/badge/dependencies-6/32-orange?style=flat"
"abc",5,15,5,9,3,5,4,5,"https://img.shields.io/badge/dependencies-3/5-green?style=flat"
"abc.data",0,0,0,0,0,0,1,6,"https://img.shields.io/badge/dependencies-0/0-brightgreen?style=flat"
"ABC.RAP",3,3,0,0,0,0,0,0,"https://img.shields.io/badge/dependencies-0/0-brightgreen?style=flat"
"abcADM",2,4,2,2,2,2,0,0,"https://img.shields.io/badge/dependencies-2/2-green?style=flat"
"ABCanalysis",1,5,1,1,1,1,0,0,"https://img.shields.io/badge/dependencies-1/1-green?style=flat"
"abcdeFBA",4,49,4,42,3,40,0,0,"https://img.shields.io/badge/dependencies-3/40-green?style=flat"
"ABCoptim",4,5,1,1,1,1,0,0,"https://img.shields.io/badge/dependencies-1/1-green?style=flat"
"ABCp2",1,6,1,1,0,0,0,0,"https://img.shields.io/badge/dependencies-0/0-brightgreen?style=flat"
"abcrf",10,42,9,34,8,30,0,0,"https://img.shields.io/badge/dependencies-8/30-orange?style=flat"
"abcrlda",1,1,0,0,0,0,0,0,"https://img.shields.io/badge/dependencies-0/0-brightgreen?style=flat"
"abctools",5,91,4,82,4,72,0,0,"https://img.shields.io/badge/dependencies-4/72-green?style=flat"
"abd",4,99,3,91,1,86,1,1,"https://img.shields.io/badge/dependencies-1/86-green?style=flat"
"abdiv",1,12,1,4,1,2,0,0,"https://img.shields.io/badge/dependencies-1/2-green?style=flat"
"abe",0,0,0,0,0,0,0,0,"https://img.shields.io/badge/dependencies-0/0-brightgreen?style=flat"
"abf2",0,0,0,0,0,0,0,0,"https://img.shields.io/badge/dependencies-0/0-brightgreen?style=flat"
"ABHgenotypeR",3,58,2,50,2,45,0,0,"https://img.shields.io/badge/dependencies-2/45-green?style=flat"
"abind",2,2,0,0,0,0,158,902,"https://img.shields.io/badge/dependencies-0/0-brightgreen?style=flat"
"abjutils",17,101,17,94,17,93,0,0,"https://img.shields.io/badge/dependencies-17/93-red?style=flat"
"abn",7,23,6,15,4,9,1,1,"https://img.shields.io/badge/dependencies-4/9-green?style=flat"
"abnormality",2,9,2,3,0,0,0,0,"https://img.shields.io/badge/dependencies-0/0-brightgreen?style=flat"
"abodOutlier",1,5,1,1,0,0,0,0,"https://img.shields.io/badge/dependencies-0/0-brightgreen?style=flat"
"ABPS",1,5,1,1,1,1,0,0,"https://img.shields.io/badge/dependencies-1/1-green?style=flat"
"AbsFilterGSEA",6,8,5,5,5,5,0,0,"https://img.shields.io/badge/dependencies-5/5-orange?style=flat"
"AbSim",2,14,2,6,2,4,0,0,"https://img.shields.io/badge/dependencies-2/4-green?style=flat"
"abstractr",7,78,7,70,7,65,0,0,"https://img.shields.io/badge/dependencies-7/65-orange?style=flat"
"abtest",10,47,8,37,7,32,0,0,"https://img.shields.io/badge/dependencies-7/32-orange?style=flat"
"abundant",1,1,1,1,1,1,0,0,"https://img.shields.io/badge/dependencies-1/1-green?style=flat"
"Ac3net",1,2,1,1,1,1,0,0,"https://img.shields.io/badge/dependencies-1/1-green?style=flat"
"ACA",4,4,0,0,0,0,0,0,"https://img.shields.io/badge/dependencies-0/0-brightgreen?style=flat"
"acc",14,76,13,68,13,63,0,0,"https://img.shields.io/badge/dependencies-13/63-red?style=flat"
"accelerometry",2,82,2,74,2,68,2,2,"https://img.shields.io/badge/dependencies-2/68-green?style=flat"
"accelmissing",2,43,2,35,2,32,0,0,"https://img.shields.io/badge/dependencies-2/32-green?style=flat"
"accept",7,85,6,77,5,72,0,0,"https://img.shields.io/badge/dependencies-5/72-orange?style=flat"
"AcceptanceSampling",4,4,0,0,0,0,0,0,"https://img.shields.io/badge/dependencies-0/0-brightgreen?style=flat"
"ACCLMA",0,0,0,0,0,0,0,0,"https://img.shields.io/badge/dependencies-0/0-brightgreen?style=flat"
"accrual",3,18,3,9,3,4,0,0,"https://img.shields.io/badge/dependencies-3/4-green?style=flat"
"accrued",1,1,0,0,0,0,0,0,"https://img.shields.io/badge/dependencies-0/0-brightgreen?style=flat"
"accSDA",7,67,6,59,5,53,0,0,"https://img.shields.io/badge/dependencies-5/53-orange?style=flat"
"ACD",0,0,0,0,0,0,0,0,"https://img.shields.io/badge/dependencies-0/0-brightgreen?style=flat"
"ACDm",6,64,5,55,5,50,1,1,"https://img.shields.io/badge/dependencies-5/50-orange?style=flat"
"ace2fastq",1,8,1,4,1,4,0,0,"https://img.shields.io/badge/dependencies-1/4-green?style=flat"
"acebayes",6,10,5,6,5,6,0,0,"https://img.shields.io/badge/dependencies-5/6-orange?style=flat"
"acepack",0,0,0,0,0,0,2,383,"https://img.shields.io/badge/dependencies-0/0-brightgreen?style=flat"
"ACEt",5,10,4,4,3,3,0,0,"https://img.shields.io/badge/dependencies-3/3-green?style=flat"
"acfMPeriod",1,6,1,1,0,0,0,0,"https://img.shields.io/badge/dependencies-0/0-brightgreen?style=flat"
"acid",10,87,3,77,3,67,0,0,"https://img.shields.io/badge/dependencies-3/67-green?style=flat"
"acm4r",1,6,1,1,0,0,0,0,"https://img.shields.io/badge/dependencies-0/0-brightgreen?style=flat"
"acmeR",5,6,1,1,0,0,0,0,"https://img.shields.io/badge/dependencies-0/0-brightgreen?style=flat"
"ACNE",8,32,8,24,7,22,0,0,"https://img.shields.io/badge/dependencies-7/22-orange?style=flat"
"acnr",0,0,0,0,0,0,1,3,"https://img.shields.io/badge/dependencies-0/0-brightgreen?style=flat"
"acopula",0,0,0,0,0,0,0,0,"https://img.shields.io/badge/dependencies-0/0-brightgreen?style=flat"
"AcousticNDLCodeR",4,13,3,6,3,4,0,0,"https://img.shields.io/badge/dependencies-3/4-green?style=flat"
"acp",2,14,2,8,2,7,0,0,"https://img.shields.io/badge/dependencies-2/7-green?style=flat"
"aCRM",4,13,4,8,4,7,0,0,"https://img.shields.io/badge/dependencies-4/7-green?style=flat"
"AcrossTic",2,8,2,4,2,2,0,0,"https://img.shields.io/badge/dependencies-2/2-green?style=flat"
"acrt",5,12,3,6,3,4,0,0,"https://img.shields.io/badge/dependencies-3/4-green?style=flat"
"acs",8,20,4,15,4,15,2,4,"https://img.shields.io/badge/dependencies-4/15-green?style=flat"
"ACSNMineR",3,55,3,47,3,42,0,0,"https://img.shields.io/badge/dependencies-3/42-green?style=flat"
"acss",2,8,2,3,2,2,0,0,"https://img.shields.io/badge/dependencies-2/2-green?style=flat"
"acss.data",0,0,0,0,0,0,1,1,"https://img.shields.io/badge/dependencies-0/0-brightgreen?style=flat"
"ACSWR",1,6,1,1,0,0,0,0,"https://img.shields.io/badge/dependencies-0/0-brightgreen?style=flat"
"ACTCD",4,75,2,66,2,61,0,0,"https://img.shields.io/badge/dependencies-2/61-green?style=flat"
"ActFrag",6,85,5,77,4,71,0,0,"https://img.shields.io/badge/dependencies-4/71-green?style=flat"
"Actigraphy",1,9,1,3,1,1,0,0,"https://img.shields.io/badge/dependencies-1/1-green?style=flat"
"ActiveDriver",3,7,1,1,0,0,0,0,"https://img.shields.io/badge/dependencies-0/0-brightgreen?style=flat"
"ActiveDriverWGS",8,11,8,9,8,9,0,0,"https://img.shields.io/badge/dependencies-8/9-orange?style=flat"
"activegp",6,12,5,7,5,6,0,0,"https://img.shields.io/badge/dependencies-5/6-orange?style=flat"
"activity",4,16,3,9,3,7,0,0,"https://img.shields.io/badge/dependencies-3/7-green?style=flat"
"activityCounts",5,28,5,22,5,21,0,0,"https://img.shields.io/badge/dependencies-5/21-orange?style=flat"
"activPAL",7,104,6,96,6,91,0,0,"https://img.shields.io/badge/dependencies-6/91-orange?style=flat"
"activpalProcessing",5,5,1,1,1,1,0,0,"https://img.shields.io/badge/dependencies-1/1-green?style=flat"
"actogrammr",5,66,5,58,5,53,0,0,"https://img.shields.io/badge/dependencies-5/53-orange?style=flat"
"actuar",3,3,1,1,1,1,15,15,"https://img.shields.io/badge/dependencies-1/1-green?style=flat"
"actuaryr",6,28,6,24,6,24,0,0,"https://img.shields.io/badge/dependencies-6/24-orange?style=flat"
"AcuityView",7,28,3,21,3,19,0,0,"https://img.shields.io/badge/dependencies-3/19-green?style=flat"
"ada",1,4,1,1,0,0,7,7,"https://img.shields.io/badge/dependencies-0/0-brightgreen?style=flat"
"adabag",4,89,4,79,3,68,2,3,"https://img.shields.io/badge/dependencies-3/68-green?style=flat"
"adagio",2,2,0,0,0,0,1,1,"https://img.shields.io/badge/dependencies-0/0-brightgreen?style=flat"
"adamethods",11,128,7,118,7,105,0,0,"https://img.shields.io/badge/dependencies-7/105-orange?style=flat"
"AdapEnetClass",4,24,4,17,4,12,0,0,"https://img.shields.io/badge/dependencies-4/12-green?style=flat"
"adapr",17,135,15,126,15,120,0,0,"https://img.shields.io/badge/dependencies-15/120-red?style=flat"
"AdapSamp",2,5,1,1,1,1,0,0,"https://img.shields.io/badge/dependencies-1/1-green?style=flat"
"adaptalint",3,64,3,58,3,57,0,0,"https://img.shields.io/badge/dependencies-3/57-green?style=flat"
"AdaptFit",4,11,4,5,1,1,0,0,"https://img.shields.io/badge/dependencies-1/1-green?style=flat"
"AdaptFitOS",5,14,4,7,1,1,0,0,"https://img.shields.io/badge/dependencies-1/1-green?style=flat"
"AdaptGauss",5,69,4,61,4,56,2,2,"https://img.shields.io/badge/dependencies-4/56-green?style=flat"
"adaptiveGPCA",4,68,4,59,4,54,1,1,"https://img.shields.io/badge/dependencies-4/54-green?style=flat"
"AdaptiveSparsity",4,11,4,5,2,2,0,0,"https://img.shields.io/badge/dependencies-2/2-green?style=flat"
"adaptivetau",0,0,0,0,0,0,2,2,"https://img.shields.io/badge/dependencies-0/0-brightgreen?style=flat"
"adaptMCMC",3,10,2,3,1,1,4,6,"https://img.shields.io/badge/dependencies-1/1-green?style=flat"
"adaptMT",1,1,0,0,0,0,0,0,"https://img.shields.io/badge/dependencies-0/0-brightgreen?style=flat"
"ADAPTS",12,112,12,103,12,91,0,0,"https://img.shields.io/badge/dependencies-12/91-red?style=flat"
"adaptsmoFMRI",6,29,5,21,4,15,0,0,"https://img.shields.io/badge/dependencies-4/15-green?style=flat"
"adaptTest",1,6,1,1,0,0,0,0,"https://img.shields.io/badge/dependencies-0/0-brightgreen?style=flat"
"AdaSampling",5,88,4,79,2,68,0,0,"https://img.shields.io/badge/dependencies-2/68-green?style=flat"
"ADCT",2,3,1,1,1,1,0,0,"https://img.shields.io/badge/dependencies-1/1-green?style=flat"
"add2ggplot",5,57,5,49,5,44,0,0,"https://img.shields.io/badge/dependencies-5/44-orange?style=flat"
"addhaz",4,10,3,4,0,0,0,0,"https://img.shields.io/badge/dependencies-0/0-brightgreen?style=flat"
"addhazard",3,12,3,5,2,2,0,0,"https://img.shields.io/badge/dependencies-2/2-green?style=flat"
"addinslist",11,50,10,45,10,45,0,0,"https://img.shields.io/badge/dependencies-10/45-red?style=flat"
"addinsOutline",11,56,11,51,11,51,0,0,"https://img.shields.io/badge/dependencies-11/51-red?style=flat"
"additiveDEA",2,7,2,3,2,3,0,0,"https://img.shields.io/badge/dependencies-2/3-green?style=flat"
"additivityTests",0,0,0,0,0,0,1,10,"https://img.shields.io/badge/dependencies-0/0-brightgreen?style=flat"
"addreg",4,21,3,13,3,10,0,0,"https://img.shields.io/badge/dependencies-3/10-green?style=flat"
"addScales",4,6,1,1,0,0,0,0,"https://img.shields.io/badge/dependencies-0/0-brightgreen?style=flat"
"ADDT",3,12,3,6,1,3,0,0,"https://img.shields.io/badge/dependencies-1/3-green?style=flat"
"ade4",8,10,3,4,2,2,60,143,"https://img.shields.io/badge/dependencies-2/2-green?style=flat"
"ade4TkGUI",9,19,4,12,3,9,0,0,"https://img.shields.io/badge/dependencies-3/9-green?style=flat"
"adeba",5,16,3,9,3,5,0,0,"https://img.shields.io/badge/dependencies-3/5-green?style=flat"
"adegenet",17,102,12,93,10,84,15,24,"https://img.shields.io/badge/dependencies-10/84-red?style=flat"
"adegraphics",10,16,6,10,4,7,4,5,"https://img.shields.io/badge/dependencies-4/7-green?style=flat"
"adehabitatHR",9,17,5,11,5,8,4,5,"https://img.shields.io/badge/dependencies-5/8-orange?style=flat"
"adehabitatHS",8,18,4,12,4,9,0,0,"https://img.shields.io/badge/dependencies-4/9-green?style=flat"
"adehabitatLT",9,15,4,9,4,6,3,8,"https://img.shields.io/badge/dependencies-4/6-green?style=flat"
"adehabitatMA",7,9,2,3,2,2,5,12,"https://img.shields.io/badge/dependencies-2/2-green?style=flat"
"adephylo",5,118,4,109,4,100,5,6,"https://img.shields.io/badge/dependencies-4/100-green?style=flat"
"adepro",21,104,18,95,17,87,0,0,"https://img.shields.io/badge/dependencies-17/87-red?style=flat"
"adept",5,87,5,78,5,71,0,0,"https://img.shields.io/badge/dependencies-5/71-orange?style=flat"
"adeptdata",0,0,0,0,0,0,0,0,"https://img.shields.io/badge/dependencies-0/0-brightgreen?style=flat"
"AdequacyModel",3,3,0,0,0,0,3,4,"https://img.shields.io/badge/dependencies-0/0-brightgreen?style=flat"
"adespatial",14,123,9,114,7,105,1,1,"https://img.shields.io/badge/dependencies-7/105-orange?style=flat"
"adfExplorer",1,1,0,0,0,0,0,0,"https://img.shields.io/badge/dependencies-0/0-brightgreen?style=flat"
"ADGofTest",0,0,0,0,0,0,9,65,"https://img.shields.io/badge/dependencies-0/0-brightgreen?style=flat"
"AdhereR",6,10,5,7,5,7,1,1,"https://img.shields.io/badge/dependencies-5/7-orange?style=flat"
"AdhereRViz",22,111,21,102,21,97,0,0,"https://img.shields.io/badge/dependencies-21/97-red?style=flat"
"adhoc",3,105,3,96,3,87,0,0,"https://img.shields.io/badge/dependencies-3/87-green?style=flat"
"adimpro",3,3,1,1,1,1,2,2,"https://img.shields.io/badge/dependencies-1/1-green?style=flat"
"adiv",10,180,9,171,8,159,0,0,"https://img.shields.io/badge/dependencies-8/159-orange?style=flat"
"AdjBQR",4,16,4,9,3,5,0,0,"https://img.shields.io/badge/dependencies-3/5-green?style=flat"
"adjclust",8,11,3,5,2,2,0,0,"https://img.shields.io/badge/dependencies-2/2-green?style=flat"
"adjustedcranlogs",5,42,5,37,5,37,0,0,"https://img.shields.io/badge/dependencies-5/37-orange?style=flat"
"adklakedata",4,12,2,9,2,9,0,0,"https://img.shields.io/badge/dependencies-2/9-green?style=flat"
"adlift",1,8,1,3,1,2,5,7,"https://img.shields.io/badge/dependencies-1/2-green?style=flat"
"admisc",1,1,0,0,0,0,4,7,"https://img.shields.io/badge/dependencies-0/0-brightgreen?style=flat"
"AdMit",1,3,1,1,1,1,0,0,"https://img.shields.io/badge/dependencies-1/1-green?style=flat"
"admixturegraph",13,68,7,59,6,53,0,0,"https://img.shields.io/badge/dependencies-6/53-orange?style=flat"
"ADMM",9,23,6,15,5,12,0,0,"https://img.shields.io/badge/dependencies-5/12-orange?style=flat"
"admmDensestSubmatrix",3,12,1,7,1,7,0,0,"https://img.shields.io/badge/dependencies-1/7-green?style=flat"
"ADMMnet",3,10,3,4,2,2,0,0,"https://img.shields.io/badge/dependencies-2/2-green?style=flat"
"ADMMsigma",9,66,7,57,7,51,0,0,"https://img.shields.io/badge/dependencies-7/51-orange?style=flat"
"adnuts",3,68,3,58,3,53,0,0,"https://img.shields.io/badge/dependencies-3/53-green?style=flat"
"adoption",9,9,3,3,3,3,0,0,"https://img.shields.io/badge/dependencies-3/3-green?style=flat"
"adoptr",3,3,2,2,2,2,0,0,"https://img.shields.io/badge/dependencies-2/2-green?style=flat"
"ADPclust",4,43,4,36,3,35,0,0,"https://img.shields.io/badge/dependencies-3/35-green?style=flat"
"ADPF",2,2,0,0,0,0,0,0,"https://img.shields.io/badge/dependencies-0/0-brightgreen?style=flat"
"adpss",1,3,1,1,1,1,0,0,"https://img.shields.io/badge/dependencies-1/1-green?style=flat"
"ads",2,24,2,17,2,11,0,0,"https://img.shields.io/badge/dependencies-2/11-green?style=flat"
"AdvBinomApps",2,5,2,2,2,2,0,0,"https://img.shields.io/badge/dependencies-2/2-green?style=flat"
"advclust",6,66,5,58,4,52,1,1,"https://img.shields.io/badge/dependencies-4/52-green?style=flat"
"AdvDif4",0,0,0,0,0,0,0,0,"https://img.shields.io/badge/dependencies-0/0-brightgreen?style=flat"
"adventr",19,173,19,163,17,152,0,0,"https://img.shields.io/badge/dependencies-17/152-red?style=flat"
"adwave",1,5,1,1,1,1,0,0,"https://img.shields.io/badge/dependencies-1/1-green?style=flat"
"adwordsR",3,5,2,3,2,3,0,0,"https://img.shields.io/badge/dependencies-2/3-green?style=flat"
"AEDForecasting",3,71,3,62,3,56,0,0,"https://img.shields.io/badge/dependencies-3/56-green?style=flat"
"aemo",6,31,4,26,4,26,0,0,"https://img.shields.io/badge/dependencies-4/26-green?style=flat"
"AER",7,72,6,63,5,54,11,11,"https://img.shields.io/badge/dependencies-5/54-orange?style=flat"
"AeRobiology",13,92,11,84,11,78,0,0,"https://img.shields.io/badge/dependencies-11/78-red?style=flat"
"AF",8,20,5,12,4,9,0,0,"https://img.shields.io/badge/dependencies-4/9-green?style=flat"
"afc",0,0,0,0,0,0,0,0,"https://img.shields.io/badge/dependencies-0/0-brightgreen?style=flat"
"afCEC",4,45,3,39,3,38,0,0,"https://img.shields.io/badge/dependencies-3/38-green?style=flat"
"afex",8,95,5,86,5,78,5,7,"https://img.shields.io/badge/dependencies-5/78-orange?style=flat"
"affluenceIndex",1,1,0,0,0,0,0,0,"https://img.shields.io/badge/dependencies-0/0-brightgreen?style=flat"
"AFheritability",4,70,4,62,4,57,0,0,"https://img.shields.io/badge/dependencies-4/57-green?style=flat"
"AFM",21,104,19,96,19,89,0,0,"https://img.shields.io/badge/dependencies-19/89-red?style=flat"
"afmToolkit",11,62,8,54,8,49,0,0,"https://img.shields.io/badge/dependencies-8/49-orange?style=flat"
"afpt",2,2,0,0,0,0,0,0,"https://img.shields.io/badge/dependencies-0/0-brightgreen?style=flat"
"aftgee",6,47,4,38,2,33,1,1,"https://img.shields.io/badge/dependencies-2/33-green?style=flat"
"AGD",2,16,2,8,2,3,0,0,"https://img.shields.io/badge/dependencies-2/3-green?style=flat"
"aGE",4,18,3,11,1,6,0,0,"https://img.shields.io/badge/dependencies-1/6-green?style=flat"
"AggregateR",4,4,1,1,1,1,0,0,"https://img.shields.io/badge/dependencies-1/1-green?style=flat"
"aggregation",0,0,0,0,0,0,0,0,"https://img.shields.io/badge/dependencies-0/0-brightgreen?style=flat"
"AGHmatrix",2,9,2,3,1,1,0,0,"https://img.shields.io/badge/dependencies-1/1-green?style=flat"
"agop",3,3,0,0,0,0,1,1,"https://img.shields.io/badge/dependencies-0/0-brightgreen?style=flat"
"AGread",16,104,14,94,14,86,2,2,"https://img.shields.io/badge/dependencies-14/86-red?style=flat"
"agRee",4,31,4,23,4,18,0,0,"https://img.shields.io/badge/dependencies-4/18-green?style=flat"
"AgreementInterval",1,11,1,4,1,2,0,0,"https://img.shields.io/badge/dependencies-1/2-green?style=flat"
"agricolae",6,60,5,53,2,47,6,7,"https://img.shields.io/badge/dependencies-2/47-green?style=flat"
"agridat",0,0,0,0,0,0,0,0,"https://img.shields.io/badge/dependencies-0/0-brightgreen?style=flat"
"agriTutorial",6,69,6,60,4,54,0,0,"https://img.shields.io/badge/dependencies-4/54-green?style=flat"
"agriwater",3,11,3,5,3,4,0,0,"https://img.shields.io/badge/dependencies-3/4-green?style=flat"
"agrmt",0,0,0,0,0,0,0,0,"https://img.shields.io/badge/dependencies-0/0-brightgreen?style=flat"
"agroclim",16,122,14,113,14,104,0,0,"https://img.shields.io/badge/dependencies-14/104-red?style=flat"
"agrostab",5,59,3,51,3,46,0,0,"https://img.shields.io/badge/dependencies-3/46-green?style=flat"
"AGSDest",4,7,1,2,1,1,0,0,"https://img.shields.io/badge/dependencies-1/1-green?style=flat"
"agsemisc",3,8,2,2,0,0,0,0,"https://img.shields.io/badge/dependencies-0/0-brightgreen?style=flat"
"ahaz",2,10,2,3,0,0,4,5,"https://img.shields.io/badge/dependencies-0/0-brightgreen?style=flat"
"AHM",9,121,9,114,8,108,0,0,"https://img.shields.io/badge/dependencies-8/108-orange?style=flat"
"AHMbook",11,20,6,13,6,10,0,0,"https://img.shields.io/badge/dependencies-6/10-orange?style=flat"
"ahnr",7,63,7,55,7,50,0,0,"https://img.shields.io/badge/dependencies-7/50-orange?style=flat"
"AhoCorasickTrie",1,3,1,1,1,1,1,1,"https://img.shields.io/badge/dependencies-1/1-green?style=flat"
"ahp",5,86,4,78,4,73,0,0,"https://img.shields.io/badge/dependencies-4/73-green?style=flat"
"ahpsurvey",7,57,6,51,6,51,0,0,"https://img.shields.io/badge/dependencies-6/51-orange?style=flat"
"aibd",3,3,2,2,2,2,0,0,"https://img.shields.io/badge/dependencies-2/2-green?style=flat"
"AICcmodavg",12,22,8,13,3,8,4,4,"https://img.shields.io/badge/dependencies-3/8-green?style=flat"
"AID",7,65,5,56,4,51,0,0,"https://img.shields.io/badge/dependencies-4/51-green?style=flat"
"aidar",1,3,1,1,1,1,0,0,"https://img.shields.io/badge/dependencies-1/1-green?style=flat"
"AIG",5,64,4,56,3,51,0,0,"https://img.shields.io/badge/dependencies-3/51-green?style=flat"
"AIM",1,10,1,3,0,0,1,1,"https://img.shields.io/badge/dependencies-0/0-brightgreen?style=flat"
"aimPlot",2,54,1,46,1,41,0,0,"https://img.shields.io/badge/dependencies-1/41-green?style=flat"
"aimsir17",1,19,1,15,1,15,0,0,"https://img.shields.io/badge/dependencies-1/15-green?style=flat"
"aire.zmvm",11,54,11,47,11,46,0,0,"https://img.shields.io/badge/dependencies-11/46-red?style=flat"
"airGR",0,0,0,0,0,0,2,2,"https://img.shields.io/badge/dependencies-0/0-brightgreen?style=flat"
"airGRteaching",7,35,7,28,7,27,0,0,"https://img.shields.io/badge/dependencies-7/27-orange?style=flat"
"aiRly",5,33,4,28,4,28,0,0,"https://img.shields.io/badge/dependencies-4/28-green?style=flat"
"airportr",1,26,1,22,1,22,0,0,"https://img.shields.io/badge/dependencies-1/22-green?style=flat"
"airqualityES",1,19,1,15,1,15,0,0,"https://img.shields.io/badge/dependencies-1/15-green?style=flat"
"airr",5,28,3,23,3,23,1,1,"https://img.shields.io/badge/dependencies-3/23-green?style=flat"
"airt",3,47,3,38,3,32,0,0,"https://img.shields.io/badge/dependencies-3/32-green?style=flat"
"aiRthermo",0,0,0,0,0,0,0,0,"https://img.shields.io/badge/dependencies-0/0-brightgreen?style=flat"
"ajv",3,8,3,6,3,6,0,0,"https://img.shields.io/badge/dependencies-3/6-green?style=flat"
"akc",15,134,15,125,15,120,0,0,"https://img.shields.io/badge/dependencies-15/120-red?style=flat"
"Ake",0,0,0,0,0,0,0,0,"https://img.shields.io/badge/dependencies-0/0-brightgreen?style=flat"
"akima",1,8,1,2,1,1,1,1,"https://img.shields.io/badge/dependencies-1/1-green?style=flat"
"akmeans",0,0,0,0,0,0,0,0,"https://img.shields.io/badge/dependencies-0/0-brightgreen?style=flat"
"akmedoids",8,105,6,97,6,85,0,0,"https://img.shields.io/badge/dependencies-6/85-orange?style=flat"
"ALA4R",8,27,8,20,8,19,0,0,"https://img.shields.io/badge/dependencies-8/19-orange?style=flat"
"alabama",1,1,1,1,1,1,20,29,"https://img.shields.io/badge/dependencies-1/1-green?style=flat"
"alakazam",20,74,15,65,14,60,5,5,"https://img.shields.io/badge/dependencies-14/60-red?style=flat"
"ALassoSurvIC",2,4,1,1,1,1,0,0,"https://img.shields.io/badge/dependencies-1/1-green?style=flat"
"albopictus",1,1,0,0,0,0,0,0,"https://img.shields.io/badge/dependencies-0/0-brightgreen?style=flat"
"ald",0,0,0,0,0,0,6,6,"https://img.shields.io/badge/dependencies-0/0-brightgreen?style=flat"
"ALDqr",2,16,2,9,2,7,1,1,"https://img.shields.io/badge/dependencies-2/7-green?style=flat"
"ALEPlot",1,5,1,1,1,1,0,0,"https://img.shields.io/badge/dependencies-1/1-green?style=flat"
"aLFQ",9,101,9,91,8,80,0,0,"https://img.shields.io/badge/dependencies-8/80-orange?style=flat"
"alfr",4,16,4,12,4,12,0,0,"https://img.shields.io/badge/dependencies-4/12-green?style=flat"
"alfred",6,32,6,27,6,27,1,1,"https://img.shields.io/badge/dependencies-6/27-orange?style=flat"
"algaeClassify",8,82,8,74,8,70,0,0,"https://img.shields.io/badge/dependencies-8/70-orange?style=flat"
"AlgDesign",0,0,0,0,0,0,10,26,"https://img.shields.io/badge/dependencies-0/0-brightgreen?style=flat"
"AlgebraicHaploPackage",0,0,0,0,0,0,0,0,"https://img.shields.io/badge/dependencies-0/0-brightgreen?style=flat"
"algorithmia",4,12,3,10,3,10,0,0,"https://img.shields.io/badge/dependencies-3/10-green?style=flat"
"aliases2entrez",9,35,7,30,7,29,0,0,"https://img.shields.io/badge/dependencies-7/29-orange?style=flat"
"alignfigR",1,54,1,46,1,41,0,0,"https://img.shields.io/badge/dependencies-1/41-green?style=flat"
"alineR",0,0,0,0,0,0,0,0,"https://img.shields.io/badge/dependencies-0/0-brightgreen?style=flat"
"allan",1,3,1,2,1,2,0,0,"https://img.shields.io/badge/dependencies-1/2-green?style=flat"
"allanvar",1,9,1,6,1,5,0,0,"https://img.shields.io/badge/dependencies-1/5-green?style=flat"
"alleHap",4,5,1,1,1,1,0,0,"https://img.shields.io/badge/dependencies-1/1-green?style=flat"
"allelematch",4,4,1,1,1,1,0,0,"https://img.shields.io/badge/dependencies-1/1-green?style=flat"
"AlleleRetain",0,0,0,0,0,0,0,0,"https://img.shields.io/badge/dependencies-0/0-brightgreen?style=flat"
"allelic",0,0,0,0,0,0,0,0,"https://img.shields.io/badge/dependencies-0/0-brightgreen?style=flat"
"allestimates",10,68,9,60,7,54,0,0,"https://img.shields.io/badge/dependencies-7/54-orange?style=flat"
"AllPossibleSpellings",0,0,0,0,0,0,0,0,"https://img.shields.io/badge/dependencies-0/0-brightgreen?style=flat"
"alluvial",0,0,0,0,0,0,2,3,"https://img.shields.io/badge/dependencies-0/0-brightgreen?style=flat"
"alookr",23,207,21,197,19,183,0,0,"https://img.shields.io/badge/dependencies-19/183-red?style=flat"
"alpaca",7,10,5,5,4,4,0,0,"https://img.shields.io/badge/dependencies-4/4-green?style=flat"
"alphabetr",4,31,4,25,4,24,0,0,"https://img.shields.io/badge/dependencies-4/24-green?style=flat"
"alphahull",6,70,6,62,6,56,3,3,"https://img.shields.io/badge/dependencies-6/56-orange?style=flat"
"alphaOutlier",5,15,3,8,3,6,0,0,"https://img.shields.io/badge/dependencies-3/6-green?style=flat"
"AlphaPart",6,62,6,54,6,49,0,0,"https://img.shields.io/badge/dependencies-6/49-orange?style=flat"
"alphashape3d",2,50,2,44,2,43,1,2,"https://img.shields.io/badge/dependencies-2/43-green?style=flat"
"AlphaSimR",5,7,4,4,4,4,0,0,"https://img.shields.io/badge/dependencies-4/4-green?style=flat"
"alphastable",4,11,4,5,3,3,0,0,"https://img.shields.io/badge/dependencies-3/3-green?style=flat"
"AlphaVantageClient",2,18,2,11,2,10,0,0,"https://img.shields.io/badge/dependencies-2/10-green?style=flat"
"alphavantager",10,124,10,115,10,104,1,3,"https://img.shields.io/badge/dependencies-10/104-red?style=flat"
"alr3",1,67,1,58,1,50,0,0,"https://img.shields.io/badge/dependencies-1/50-green?style=flat"
"alr4",2,75,2,66,2,57,0,0,"https://img.shields.io/badge/dependencies-2/57-green?style=flat"
