"package","declared","declared_recursive","without_base","without_base_recursive","without_installed","without_installed_recursive","reverse","reverse_recursive","badge_url"
"mallet",1,2,1,1,1,1,0,0,"https://img.shields.io/badge/dependencies-1/1-green?style=flat"
"MAMS",2,3,1,1,1,1,0,0,"https://img.shields.io/badge/dependencies-1/1-green?style=flat"
"MAMSE",0,0,0,0,0,0,0,0,"https://img.shields.io/badge/dependencies-0/0-brightgreen?style=flat"
"managelocalrepo",3,9,2,5,2,5,0,0,"https://img.shields.io/badge/dependencies-2/5-green?style=flat"
"MANCIE",0,0,0,0,0,0,0,0,"https://img.shields.io/badge/dependencies-0/0-brightgreen?style=flat"
"mand",5,102,5,93,5,82,0,0,"https://img.shields.io/badge/dependencies-5/82-orange?style=flat"
"mandelbrot",1,11,1,7,1,7,0,0,"https://img.shields.io/badge/dependencies-1/7-green?style=flat"
"manet",4,20,4,14,4,11,0,0,"https://img.shields.io/badge/dependencies-4/11-green?style=flat"
"mangoTraining",0,0,0,0,0,0,0,0,"https://img.shields.io/badge/dependencies-0/0-brightgreen?style=flat"
"Mangrove",0,0,0,0,0,0,0,0,"https://img.shields.io/badge/dependencies-0/0-brightgreen?style=flat"
"manhattanly",4,79,3,71,3,66,1,1,"https://img.shields.io/badge/dependencies-3/66-green?style=flat"
"manhplot",4,60,4,52,4,47,0,0,"https://img.shields.io/badge/dependencies-4/47-green?style=flat"
"manifestoR",16,56,14,48,14,46,0,0,"https://img.shields.io/badge/dependencies-14/46-red?style=flat"
"ManifoldOptim",2,5,2,2,2,2,1,1,"https://img.shields.io/badge/dependencies-2/2-green?style=flat"
"manipulate",0,0,0,0,0,0,7,8,"https://img.shields.io/badge/dependencies-0/0-brightgreen?style=flat"
"manipulateWidget",11,39,8,34,7,33,2,241,"https://img.shields.io/badge/dependencies-7/33-orange?style=flat"
"ManlyMix",0,0,0,0,0,0,0,0,"https://img.shields.io/badge/dependencies-0/0-brightgreen?style=flat"
"MANOVA.RM",10,25,8,17,6,12,0,0,"https://img.shields.io/badge/dependencies-6/12-orange?style=flat"
"manymodelr",10,89,10,80,10,69,0,0,"https://img.shields.io/badge/dependencies-10/69-red?style=flat"
"ManyTests",0,0,0,0,0,0,0,0,"https://img.shields.io/badge/dependencies-0/0-brightgreen?style=flat"
"MaOEA",11,27,9,20,7,15,0,0,"https://img.shields.io/badge/dependencies-7/15-orange?style=flat"
"maotai",13,65,11,57,9,50,1,1,"https://img.shields.io/badge/dependencies-9/50-orange?style=flat"
"MAP",2,12,2,5,1,2,0,0,"https://img.shields.io/badge/dependencies-1/2-green?style=flat"
"Map2NCBI",1,13,1,10,1,10,0,0,"https://img.shields.io/badge/dependencies-1/10-green?style=flat"
"MAPA",4,76,3,67,3,61,2,3,"https://img.shields.io/badge/dependencies-3/61-green?style=flat"
"mapcan",3,59,3,51,3,46,0,0,"https://img.shields.io/badge/dependencies-3/46-green?style=flat"
"mapdata",1,3,1,1,1,1,12,16,"https://img.shields.io/badge/dependencies-1/1-green?style=flat"
